strategy,tv_symbol,date,db_equity,existing_close,forensic_close,diff,diff_pct
SPXL_CV_Intraday,SPXC,2026-04-20,23463.83,23455.01,23463.83,8.820000000003347,0.03760390637225628
SPXL_CV_Intraday,SPXC,2026-04-21,23003.230000000003,23010.09,23003.230000000003,-6.859999999996944,-0.02981300811946822
SPXL_Trend_Aggr,SPXA,2026-03-24,18921.647567999986,18921.647567999986,18921.647567999986,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-03-25,18279.021360817373,18279.021360817373,18279.021360817373,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-03-26,18189.14555650665,18189.14555650665,18189.14555650665,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-03-27,18021.806329601553,18021.806329601557,18021.806329601553,-3.637978807091713e-12,-2.018653813361751e-14
SPXL_Trend_Aggr,SPXA,2026-03-30,19224.395722999994,19337.495722999996,19224.395722999994,-113.10000000000218,-0.5848740789402279
SPXL_Trend_Aggr,SPXA,2026-03-31,19079.895722999994,19096.375722999997,19079.895722999994,-16.4800000000032,-0.08629909800190205
SPXL_Trend_Aggr,SPXA,2026-04-01,19522.795722999992,19546.485722999994,19522.795722999992,-23.69000000000233,-0.12119825699474322
SPXL_Trend_Aggr,SPXA,2026-04-02,18829.414070999992,18815.554070999995,18829.414070999992,13.859999999996944,0.07366246004606934
SPXL_Trend_Aggr,SPXA,2026-04-06,19097.7,19063.050000000003,19097.7,34.64999999999782,0.18176524742891517
SPXL_Trend_Aggr,SPXA,2026-04-07,18507.827062932443,18507.827062932443,18507.827062932443,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-04-08,19353.19669591086,19353.19669591086,19353.19669591086,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-04-09,19200.907642009504,19200.907642009504,19200.907642009504,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-04-10,19096.16,19075.23,19096.16,20.93000000000029,0.10972344763339834
SPXL_Trend_Aggr,SPXA,2026-04-13,19139.37,19139.37,19139.37,0.0,0.0
SPXL_Trend_Aggr,SPXA,2026-04-14,20077.429999999997,20036.49,20077.429999999997,40.93999999999505,0.20432720501442642
SPXL_Trend_Aggr,SPXA,2026-04-15,20539.340325927733,20500.18,20539.340325927733,39.16032592773263,0.19102430284871952
SPXL_Trend_Aggr,SPXA,2026-04-16,20615.879999999997,20613.21,20615.879999999997,2.6699999999982538,0.01295285887058956
SPXL_Trend_Aggr,SPXA,2026-04-17,21342.12,21378.61,21342.12,-36.4900000000016,-0.17068462355598235
SPXL_Trend_Intraday,SPXT,2026-03-23,19674.66022,19674.66022,19674.66022,0.0,0.0
SPXL_Trend_Intraday,SPXT,2026-03-24,19674.66022,19674.66022,19674.66022,0.0,0.0
SPXL_Trend_Intraday,SPXT,2026-03-25,19502.970343291017,19533.27065151856,19502.970343291017,-30.3003082275427,-0.15512152966142967
SPXL_Trend_Intraday,SPXT,2026-03-26,19293.136360487584,19293.136360487584,19293.136360487584,0.0,0.0
SPXL_Trend_Intraday,SPXT,2026-03-27,19256.902765044626,19256.902765044622,19256.902765044626,3.637978807091713e-12,1.8891816879791378e-14
